Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Assembly Sequencing Tech	CheckM completeness	CheckM contamination
GCA_030410025.1	ASM3041002v1	Vibrio breoganii	553239		CECT 7222					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4148362	Scaffold	2023-07-05	JAUFQZ01	133131	149539	78	PacBio	93.27	1.71
GCF_030410025.1	ASM3041002v1	Vibrio breoganii	553239		CECT 7222					GCF_030410025.1-RS_2024_07_07	4148362	Scaffold	2023-07-05	JAUFQZ01	133131	149539	78	PacBio	93.27	1.71
GCA_900130105.1	Vibrio.aerogenes_CECT 7868_Velvet_Prokka	Vibrio aerogenes CECT 7868	1216006		CECT 7868					Annotation submitted by UVEG	5250260	Contig	2016-12-12	FQXZ01	132421				89.32	4.5
GCF_900130105.1	Vibrio.aerogenes_CECT 7868_Velvet_Prokka	Vibrio aerogenes CECT 7868	1216006		CECT 7868					GCF_900130105.1-RS_2024_08_20	5250260	Contig	2016-12-12	FQXZ01	132421				89.32	4.5
GCA_000467185.1	ASM46718v1	Vibrio ezurae NBRC 102218	1219080		NBRC 102218					Annotation submitted by National Institute of Technology and Evaluation	3682900	Contig	2013-09-13	BATM01	112764			454 GS-FLX Titanium; Illumina HiSeq 1000	92.13	1.22
GCF_000467185.1	ASM46718v1	Vibrio ezurae NBRC 102218	1219080		NBRC 102218					GCF_000467185.1-RS_2024_08_08	3682900	Contig	2013-09-13	BATM01	112764			454 GS-FLX Titanium; Illumina HiSeq 1000	92.13	1.22
GCA_033542575.1	ASM3354257v1	Vibrio mangrovi	474394		MSSRF38					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5006649	Contig	2023-11-11	JAWRCO01	3671360			Illumina HiSeq; Oxford Nanopore	92.53	3.16
GCF_033542575.1	ASM3354257v1	Vibrio mangrovi	474394		MSSRF38					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5006649	Contig	2023-11-11	JAWRCO01	3671360			Illumina HiSeq; Oxford Nanopore	92.53	3.16
GCA_030409995.1	ASM3040999v1	Vibrio artabrorum	446374		CECT 7226					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4504134	Contig	2023-07-05	JAUFQY01	3138694			PacBio	73.71	1.94
GCF_030409995.1	ASM3040999v1	Vibrio artabrorum	446374		CECT 7226					GCF_030409995.1-RS_2024_03_14	4504134	Contig	2023-07-05	JAUFQY01	3138694			PacBio	73.71	1.94
GCA_030409635.1	ASM3040963v1	Vibrio agarivorans	153622		CECT 5085					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4907847	Scaffold	2023-07-05	JAUFQF01	2672749	3016989	4	PacBio	97.77	2.5
GCF_030409635.1	ASM3040963v1	Vibrio agarivorans	153622		CECT 5085					GCF_030409635.1-RS_2024_07_07	4907847	Scaffold	2023-07-05	JAUFQF01	2672749	3016989	4	PacBio	97.77	2.5
GCA_027923345.1	ASM2792334v1	Photobacterium carnosum	2023717		CECT 9394						4515646	Contig	2022-12-28	BPPU01	2670937			Illumina MiSeq and Nanopore	93.92	1.68
GCF_027923345.1	ASM2792334v1	Photobacterium carnosum	2023717		CECT 9394					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4515646	Contig	2022-12-28	BPPU01	2670937			Illumina MiSeq and Nanopore	93.92	1.68
GCA_008830195.1	ASM883019v1	Vibrio panuliri	1381081		LBS 2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4811243	Scaffold	2019-10-05	WAHU01	1570740	1570740	9	Illumina	99.69	1.52
GCF_008830195.1	ASM883019v1	Vibrio panuliri	1381081		LBS 2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4811243	Scaffold	2019-10-05	WAHU01	1570740	1570740	9	Illumina	99.69	1.52
GCA_900162645.1	V_palustris_CECT9027T_Velvet_Prokka_EMBL	Vibrio palustris	1918946		CECT 9027					Annotation submitted by UVEG	3701013	Contig	2017-02-07	FUFT01	1061100				90.12	0.73
GCF_900162645.1	V_palustris_CECT9027T_Velvet_Prokka_EMBL	Vibrio palustris	1918946		CECT 9027T					GCF_900162645.1-RS_2024_08_01	3701013	Contig	2017-02-07	FUFT01	1061100				90.12	0.73
GCA_900184095.1	Vmangrovi_CECT7927_Spades_Prokka	Vibrio mangrovi	474394		CECT 7927					Annotation submitted by UVEG	4944610	Contig	2017-05-26	FXXI01	523667				92.53	3.16
GCF_900184095.1	Vmangrovi_CECT7927_Spades_Prokka	Vibrio mangrovi	474394		CECT 7927					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4944610	Contig	2017-05-26	FXXI01	523667				92.53	3.16
GCA_001650345.1	ASM165034v1	Photobacterium jeanii	858640		R-40508					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5047042	Contig	2016-05-24	LVHF01	501841			Illumina HiSeq	96.06	2.84
GCF_001650345.1	ASM165034v1	Photobacterium jeanii	858640		R-40508					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5047042	Contig	2016-05-24	LVHF01	501841			Illumina HiSeq	96.06	2.84
GCA_025996475.1	ASM2599647v1	Vibrio agarivorans	153622		CECT 5085						4708248	Scaffold	2022-10-19	BLAT01	403846	891375	58	Illumina MiSeq	98.12	2.52
GCF_025996475.1	ASM2599647v1	Vibrio agarivorans	153622		CECT 5085					GCF_025996475.1-RS_2024_09_09	4708248	Scaffold	2022-10-19	BLAT01	403846	891375	58	Illumina MiSeq	98.12	2.52
GCA_003026435.1	ASM302643v1	Photobacterium swingsii	680026		DSM 24669					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5548397	Contig	2018-03-31	PYLZ01	345227			Illumina MiSeq	96.38	2.66
GCF_003026435.1	ASM302643v1	Photobacterium swingsii	680026		DSM 24669					GCF_003026435.1-RS_2024_04_27	5548397	Contig	2018-03-31	PYLZ01	345227			Illumina MiSeq	96.38	2.66
GCA_004363665.1	ASM436366v1	Photobacterium lutimaris	388278		CECT 7642					Annotation submitted by DOE Joint Genome Institute	5952688	Scaffold	2019-03-22	SNZO01	336382	407134	50	Illumina HiSeq	97.15	4.2
GCF_004363665.1	ASM436366v1	Photobacterium lutimaris	388278		CECT 7642					GCF_004363665.1-RS_2024_03_28	5952688	Scaffold	2019-03-22	SNZO01	336382	407134	50	Illumina HiSeq	97.15	4.2
GCA_030410015.1	ASM3041001v1	Vibrio cortegadensis	1328770		CECT 7227					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4534361	Scaffold	2023-07-05	JAUFQX01	287246	452500	87	PacBio	98.11	0.19
GCF_030410015.1	ASM3041001v1	Vibrio cortegadensis	1328770		CECT 7227					GCF_030410015.1-RS_2024_07_07	4534361	Scaffold	2023-07-05	JAUFQX01	287246	452500	87	PacBio	98.11	0.19
GCA_013041605.1	ASM1304160v1	Vibrio plantisponsor	664643		LMG 24470					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4441855	Scaffold	2020-05-11	JABEQC01	275298	275298	41	Illumina	98.86	1.98
GCF_013041605.1	ASM1304160v1	Vibrio plantisponsor	664643		LMG 24470					GCF_013041605.1-RS_2024_03_29	4441855	Scaffold	2020-05-11	JABEQC01	275298	275298	41	Illumina	98.86	1.98
GCA_900149295.1	V.spartinae_CECT9026T_Velvet_Prokka	Vibrio spartinae	1918945		CECT 9026					Annotation submitted by UVEG	5104270	Contig	2016-12-16	FSSB01	241858				91.4	3.32
GCF_900149295.1	V.spartinae_CECT9026T_Velvet_Prokka	Vibrio spartinae	1918945		CECT 9026T					GCF_900149295.1-RS_2024_08_20	5104270	Contig	2016-12-16	FSSB01	241858				91.4	3.32
GCA_003026355.1	ASM302635v1	Photobacterium kishitanii	318456		ATCC:BAA-1194					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4732354	Contig	2018-03-31	PYON01	226404			Illumina MiSeq	97.6	1.68
GCF_003026355.1	ASM302635v1	Photobacterium kishitanii	318456		ATCC BAA-1194					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4732354	Contig	2018-03-31	PYON01	226404			Illumina MiSeq	97.6	1.68
GCA_004764665.1	ASM476466v1	Vibrio echinoideorum	2100116		NFH.MB010						5625081	Contig	2019-04-09	SMJS01	214063			Illumina HiSeq	99.74	1.16
GCF_004764665.1	ASM476466v1	Vibrio echinoideorum	2100116		NFH.MB010					GCF_004764665.1-RS_2024_04_30	5625081	Contig	2019-04-09	SMJS01	214063			Illumina HiSeq	99.74	1.16
GCA_003025975.1	ASM302597v1	Photobacterium kishitanii	318456		pjapo.1.1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4729662	Contig	2018-03-31	PYNK01	196276			Illumina MiSeq	97.62	1.68
GCF_003025975.1	ASM302597v1	Photobacterium kishitanii	318456		pjapo.1.1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4729662	Contig	2018-03-31	PYNK01	196276			Illumina MiSeq	97.62	1.68
GCA_002934045.1	ASM293404v1	Vibrio gangliei	2077090		SZDIS-1						3611929	Scaffold	2018-02-21	PPSN01	187731	238350	50	Illumina HiSeq	93.1	1.42
GCF_002934045.1	ASM293404v1	Vibrio gangliei	2077090		SZDIS-1					GCF_002934045.1-RS_2024_05_03	3611929	Scaffold	2018-02-21	PPSN01	187731	238350	50	Illumina HiSeq	93.1	1.42
GCA_001077885.1	CAIM1393T.ver1	Photobacterium swingsii	680026		CAIM 1393					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5523519	Contig	2015-07-14	LELC01	175448			IonTorrent	79.74	2.83
GCF_001077885.1	CAIM1393T.ver1	Photobacterium swingsii	680026		CAIM 1393					GCF_001077885.1-RS_2024_03_29	5523519	Contig	2015-07-14	LELC01	175448			IonTorrent	79.74	2.83
GCA_000950095.1	CFSAN029432_01.0	Photobacterium kishitanii	318456		ATCC BAA-1194					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4709666	Contig	2015-03-10	JZSP01	174214			IonTorrent PGM	95.59	1.68
GCF_000950095.1	CFSAN029432_01.0	Photobacterium kishitanii	318456		ATCC BAA-1194					GCF_000950095.1-RS_2024_05_17	4709666	Contig	2015-03-10	JZSP01	174214			IonTorrent PGM	95.59	1.68
GCA_014652075.1	ASM1465207v1	Photobacterium aphoticum	754436		KCTC 23057					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	5252983	Scaffold	2020-09-12	BMYC01	170136	213085	47	Illumina HiSeq X Ten	95.9	3.52
GCF_014652075.1	ASM1465207v1	Photobacterium aphoticum	754436		KCTC 23057					GCF_014652075.1-RS_2024_09_02	5252983	Scaffold	2020-09-12	BMYC01	170136	213085	47	Illumina HiSeq X Ten	95.9	3.52
GCA_000711805.1	ASM71180v1	Vibrio rhizosphaerae DSM 18581	1123497		DSM 18581						4463095	Scaffold	2014-06-25	JONG01	167608	189734	47	Illumina HiSeq 2000	90.92	3.09
GCF_000711805.1	ASM71180v1	Vibrio rhizosphaerae DSM 18581	1123497		DSM 18581					GCF_000711805.1-RS_2024_05_02	4463095	Scaffold	2014-06-25	JONG01	167608	189734	47	Illumina HiSeq 2000	90.92	3.09
GCA_002849605.1	ASM284960v1	Photobacterium carnosum	2023717		TMW 2.2021					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4559543	Contig	2018-01-02	NPIB01	124814			Illumina MiSeq	94.23	2.1
GCF_002849605.1	ASM284960v1	Photobacterium carnosum	2023717		TMW 2.2021					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4559543	Contig	2018-01-02	NPIB01	124814			Illumina MiSeq	94.23	2.1
GCA_001676085.1	ASM167608v1	Photobacterium aquimaris	512643		GCSL-P109					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4470989	Contig	2016-06-24	LZFB01	123541			IonTorrent	95.32	1.23
GCF_001676085.1	ASM167608v1	Photobacterium aquimaris	512643		DSM 23343					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4470989	Contig	2016-06-24	LZFB01	123541			IonTorrent	95.32	1.23
GCA_900166975.1	P.torugnensis_CECT9189T_SPAdes_Prokka_EMBL.gz	Photobacterium toruni	1935446		CECT 9189					Annotation submitted by UVEG	4420947	Scaffold	2017-03-17	FUWP01	114487	128581	118		96.02	0.85
GCF_900166975.1	P.torugnensis_CECT9189T_SPAdes_Prokka_EMBL.gz	Photobacterium toruni	1935446		CECT 9189T					GCF_900166975.1-RS_2024_08_20	4420947	Scaffold	2017-03-17	FUWP01	114487	128581	118		96.02	0.85
GCA_900143745.1	V.quintilis_CECT7734T_Velvet_Prokka_EMBL	Vibrio quintilis	1117707					CECT 7734		Annotation submitted by UVEG	5712823	Contig	2016-12-12	FRFG01	87700				89.32	4.7
GCF_900143745.1	V.quintilis_CECT7734T_Velvet_Prokka_EMBL	Vibrio quintilis	1117707					CECT 7734		GCF_900143745.1-RS_2024_08_20	5712823	Contig	2016-12-12	FRFG01	87700				89.32	4.7
GCA_003025415.1	ASM302541v1	Photobacterium aquimaris	512643		DSM 23343					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4465356	Contig	2018-03-31	PYLY01	84155			Illumina MiSeq	96.19	1.19
GCF_003025415.1	ASM302541v1	Photobacterium aquimaris	512643		DSM 23343					GCF_003025415.1-RS_2024_05_17	4465356	Contig	2018-03-31	PYLY01	84155			Illumina MiSeq	96.19	1.19
GCA_900089965.1	VcelticusCECT7224_Velvet_Prokka	Vibrio celticus	446372		CECT 7224					Annotation submitted by UVEG	5392393	Scaffold	2016-07-17	FLQZ01	67475	72295	196		99.87	1.15
GCF_900089965.1	VcelticusCECT7224_Velvet_Prokka	Vibrio celticus	446372		CECT 7224					GCF_900089965.1-RS_2024_08_20	5392393	Scaffold	2016-07-17	FLQZ01	67475	72295	196		99.87	1.15
GCA_003025575.1	ASM302557v1	Photobacterium aphoticum	754436		DSM 25995					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5240783	Contig	2018-03-31	PYMF01	66367			Illumina MiSeq	94.76	3.77
GCF_003025575.1	ASM302557v1	Photobacterium aphoticum	754436		DSM 25995					GCF_003025575.1-RS_2024_05_17	5240783	Contig	2018-03-31	PYMF01	66367			Illumina MiSeq	94.76	3.77
GCA_003937805.1	ASM393780v1	Vibrio pectenicida	62763		CAIM 594					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4441431	Scaffold	2018-12-11	RSFA01	38980	39013	277	Illumina MiniSeq	93.35	3.13
GCF_003937805.1	ASM393780v1	Vibrio pectenicida	62763		CAIM 594					GCF_003937805.1-RS_2024_05_04	4441431	Scaffold	2018-12-11	RSFA01	38980	39013	277	Illumina MiniSeq	93.35	3.13
GCA_002265265.1	ASM226526v1	Photobacterium sanguinicancri	875932		CAIM 1827					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5475421	Scaffold	2017-08-22	NOIF01	23137	23660	569	Illumina Miniseq	96	3.07
GCF_002265265.1	ASM226526v1	Photobacterium sanguinicancri	875932		CAIM 1827					GCF_002265265.1-RS_2024_08_06	5475421	Scaffold	2017-08-22	NOIF01	23137	23660	569	Illumina Miniseq	96	3.07
GCA_000730475.1	Psan_v.1	Photobacterium sanctipauli	1342794		A-394						5689593	Contig	2014-07-17	JGVO01	5900			Illumina MiSeq	92.09	5.16
GCF_000730475.1	Psan_v.1	Photobacterium sanctipauli	1342794		A-394					GCF_000730475.1-RS_2024_03_28	5689593	Contig	2014-07-17	JGVO01	5900			Illumina MiSeq	92.09	5.16
GCA_019339365.1	ASM1933936v1	Vibrio neptunius	170651		KCTC 12702					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5363931	Complete Genome	2021-07-26		3576804	3576804	2	Oxford Nanopore	86.49	0.73
GCA_000940995.1	ASM94099v1	Photobacterium gaetbulicola Gung47	658445		Gung47					Annotation submitted by National Fisheries Research and Development Institute	5909413	Complete Genome	2015-03-04		3856884	3856884	2	454	97.13	4.85
GCA_002218005.2	ASM221800v2	Vibrio algivorus	1667024		SA2						3648612	Scaffold	2018-06-06		2542809	2542809	2		94.09	1.75
GCA_004137845.1	ASM413784v1	Vibrio parahaemolyticus	670		CAIM 320						5066442	Contig	2019-02-05	JZDS01	237891			IonTorrent	78.1	0.78
GCA_030409975.1	ASM3040997v1	Vibrio sinaloensis	379097		CECT 7298					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5123276	Contig	2023-07-05	JAUFQW01	3308031			PacBio	10.99	0.85
GCA_000830415.1	ASM83041v1	Vibrio ishigakensis	1481914		JCM19231					Annotation submitted by The University of Tokyo	4713951	Contig	2015-01-22	BBRZ01	30995			Ion PGM	58.16	1.73
GCA_000695745.1	Vshiloi354	Vibrio madracius	1342818		A-354						4229749	Contig	2014-05-23	ASHK01	3604			IonTorrent		
GCA_001312625.1	ASM131262v1	Aliivibrio fischeri ATCC 7744 = JCM 18803 = DSM 507	1298605		JCM 18803						4302720	Contig	2015-10-02	BBEE01	72451			Ion PGM	57.57	5.34
GCA_001048675.1	VDIABv1_PRJEB5898	Vibrio diabolicus	50719		CNCM I-1629					Annotation submitted by STATION BIOLOGIQUE DE ROSCOFF	5132517	Contig	2015-06-30	CCKK01	776801				93.93	0.51
GCA_003263775.1	ASM326377v1	Vibrio maritimus	990268		CAIM 1455						5847864	Contig	2018-06-25	JYJJ01	207280			IonTorrent	69.68	1.55
GCA_000696385.1	OP3Hv1	Vibrio metoecus	1481663		OP3H					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3963175	Contig	2014-05-29	JJMN01	255052			Illumina GAIIe; Pyrosequencing GS FLX-Titanium	80.99	0.08
GCA_003263845.1	ASM326384v1	Vibrio aestivus	1117706		CAIM 1861						4819674	Contig	2018-06-25	JYJN01	59196			IonTorrent	69.3	2.07
GCA_001597655.1	ASM159765v1	Vibrio cidicii	1763883		2756-81					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4760335	Contig	2016-03-25	LOMK01	3441415			PacBio	67.22	0.68
GCA_000950265.1	CFSAN029431_01.0	Photobacterium iliopiscarium	56192		ATCC 51760					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4262179	Contig	2015-03-10	JZSQ01	118952			IonTorrent PGM	84.03	1.39
